ball, prob, times since last drawn, expected difference between drawings, overdue?
4, 0.9221506207322256, 57, 23.22222222222222, True
24, 0.8778572116170935, 37, 18.577777777777776, True
18, 0.8727760135969514, 39, 19.904761904761905, True
13, 0.7756886390067302, 35, 24.58823529411765, True
15, 0.7289641111471685, 42, 33.44, True
6, 0.7239353390125021, 30, 24.58823529411765, True
16, 0.7083439993935057, 38, 32.15384615384615, True
10, 0.6366498701627832, 22, 23.22222222222222, False
2, 0.6145074878868227, 26, 28.82758620689655, False
21, 0.5853571403154165, 19, 23.22222222222222, False
20, 0.5714374921215271, 23, 28.82758620689655, False
19, 0.5347610263692797, 18, 25.333333333333336, False
7, 0.5273802856327672, 21, 29.857142857142858, False
9, 0.5046685726713356, 17, 26.125, False
25, 0.4957364774458547, 16, 25.333333333333336, False
8, 0.39792994545915195, 12, 26.125, False
12, 0.3774401316884618, 14, 32.15384615384615, False
17, 0.3550215973024905, 11, 27.866666666666667, False
11, 0.331513442690736, 9, 25.333333333333336, False
1, 0.3218280386985194, 10, 28.82758620689655, False
14, 0.2205135950043906, 5, 24.58823529411765, False
5, 0.17728605900119854, 4, 26.125, False
3, 0.11711472716121862, 2, 24.58823529411765, False
23, 0.10558912185311231, 3, 36.34782608695652, False
26, 0.08197929305647755, 1, 23.885714285714283, False
22, 0.03588516746411485, 0, 27.866666666666667, False
